"Target","Source","n","Weight"
"2morrowknight","salimsebbata",1,1
"3bodyproblem","azhaamir",1,1
"3bodyproblem","corix_jc",1,1
"3bodyproblem","corixpartners",1,1
"3bodyproblem","grahamcreate",1,1
"3bodyproblem","jagdipgrewal",1,1
"3bodyproblem","pidaripley",1,1
"3bodyproblem","transform_sec",1,1
"3g4guk","3g4guk",15,15
"3g4guk","stephensatcisco",1,1
"3g4guk","zaffareen",19,19
"3g4guk","zahidtg",20,20
"3groter","_chancer_",1,1
"4cosmictweets","wii_the_ppl",1,1
"4g5gworld samsung joins ericsson, nokia as 5g vendors for u.s. cellular #5g #tech #telco #engineering https","lucasoft_co_uk",1,1
"5bars","adamphillips193",1,1
"5g_clarity","dsimeo",1,1
"5g_clarity","gigasyssolution",5,5
"5g_clarity","mir_ghoraishi",7,7
"5g_clarity","necho",1,1
"5g_expo","_mattclifton",1,1
"5g_expo","andrew_donoghue",1,1
"5g_expo","fcaramelle",1,1
"5g_expo","mcnevinconor",1,1
"5g_expo","theeurogirl",1,1
"5g_expo","theotherbond",1,1
"5g_expo","ucreseller",1,1
"5g_expo","visiontelecom_s",1,1
"5g_innovation","clockworx_com",1,1
"5g_innovation","fortivus",3,3
"5g_innovation","gdprai",1,1
"5g_innovation","lazybot6",1,1
"5g_innovation","orchestrateme",3,3
"5g_innovation","smallcell_forum",3,3
"5g_now","davidmelanti",2,2
"5g_now","lindamclean2",1,1
"5g_transformer","andrewpalmercgi",1,1
"5g_transformer","luissequeirav",2,2
"5gaa_official","c_girish_nair",4,4
"5gaa_official","digitaltrains",1,1
"5gaa_official","iot_automotive",11,11
"5gaa_official","kawosha",1,1
"5gaa_official","qualcomm_eu",3,3
"5gaa_official","saketmohan87",3,3
"5gamericas","1nterestingtech",1,1
"5gamericas","gaming__sultan",1,1
"5gamericas","userexperienceu",1,1
"5gantenna","rf_tim",1,1
"5gawareness","alancashirelad",2,2
"5gawareness","alobhin",5,5
"5gawareness","claire312005",1,1
"5gawareness","clare09536763",1,1
"5gawareness","dazharmer",2,2
"5gawareness","dghdavies",1,1
"5gawareness","dhboughton",1,1
"5gawareness","imchaffie",3,3
"5gawareness","lauragilmartin",2,2
"5gawareness","mattphillips78",1,1
"5gawareness","musicalcatlover",1,1
"5gawareness","oak77uk",2,2
"5gawareness","paulpaul49",1,1
"5gawareness","pxkdweezil",1,1
"5gawareness","stephenpcpd",1,1
"5gawareness","teepeecariad",1,1
