"Target","Source"
"bluemoon7777","guygorillacity"
"keithmullin","keithbrennan7"
"stephnebehay","hadushase"
"msdbelgium","alpharmaxim"
"mrtejkohli","tkcorneainst"
"va_shiva","remarkmclennan"
"lotusoak2","johnburdett20"
"truepublica","narcaware"
"calivaxchoice","andrewmorrisuk"
"smombiegate","bee42681881"
"halltoons","gameoftherapies"
"claireward99","tarabracejohn"
"claireward99","tarabracejohn"
"h_destecroix","unit_dx"
"pathtweets","chijev"
"aryanwarlord","authoramish"
"thenewsnow2","owlsfanswfc"
"derekaoreilly","hudshaker"
"funshographix","shotchafoe"
"lotusoak2","kosheen18"
"va_shiva","alkemissg"
"lotusoak2","jamesba10030643"
"lotusoak2","lindseyhalket"
"arturoreyess","candido_darlan"
"iscresearch","tracybo32103831"
"lotusoak2","agency4africa"
"h_destecroix","nick_hewlett"
"lotusoak2","royhull1"
"mrcrazee","dantomlom2"
"nighealthwatch","drweyoms"
"ceijournal","britsocimm"
"lotusoak2","imchaffie"
"h_dunning","tramadorai"
"va_shiva","lisabetnk"
"ukmisbrussels","civisdumnonius"
"mrhudsonisace","charlotte3003g"
"lotusoak2","kindamuslim"
"mrhudsonisace","wlswampcleaner"
"imperialmed","pacificcricket"
"lotusoak2","redpillgin"
"lotusoak2","redpillgin"
"lotusoak2","agency4africa"
"swisscognitive","energysyscat"
"razkles","fredthefish2"
"va_shiva","kittymccleary"
"xxhitmanbossxx","nicky67748488"
"princearkman","3fya_e"
"aoecoin","shirleymarriot1"
"stgeorgesuni","rmcwatts"
"razkles","fredthefish2"
"redpilledisback","la4x51"
"boylemanuela","whisseniors"
"va_shiva","anustansegar"
"va_shiva","anustansegar"
"stephnebehay","joyagnost"
"imperialmed","leedskonp"
"callsatantoday","s9tmt"
"takarabiousa","davidkivlichan"
"resist2exist313","damian0706"
"lotusoak2","johnburdett20"
"mrhudsonisace","dickiewats"
"va_shiva","zubacova"
"smombiegate","stewarty2013"
"smombiegate","smombiegate"
"lotusoak2","agency4africa"
"va_shiva","iaincampbell008"
"ncdalliance","lizmayessex"
"maverickedin","edinburghwatch"
"smombiegate","littleglob1"
"razkles","littleglob1"
"elleprovocateur","lindal16"
"elleprovocateur","philgreaves01"
"lotusoak2","royhull1"
"lotusoak2","kheatherbrown"
"lotusoak2","cathycathyfox"
"lotusoak2","kathy40036059"
"rdsouthampton","lallpawan"
"stephnebehay","sdinpraxis"
"smombiegate","the_realtruth18"
"lotusoak2","amax1192"
"va_shiva","rdclandscapes"
"kenyadothis","osei1977"
"lotusoak2","limechillo"
"va_shiva","starebs"
"lotusoak2","kheatherbrown"
"lotusoak2","airdriedsausage"
"lotusoak2","airdriedsausage"
"lotusoak2","airdriedsausage"
"chrisbrogan5","derbygripe"
"aoecoin","calie_i5"
"lotusoak2","kheatherbrown"
"va_shiva","fuzzy131277"
"lotusoak2","tinalstephenson"
"drkatpollock","jessica10000001"
"aoecoin","fionapanc"
"lotusoak2","tinalstephenson"
"lotusoak2","royhull1"
"lotusoak2","royhull1"
"stephnebehay","sivathambisetty"
"lotusoak2","limechillo"
"lotusoak2","limechillo"
"chrisbrogan5","nickyc7475"
"annika1021","sofrup"
"callsatantoday","mikerestorer"
"d_angeletti","kennethwilsonuk"
"smombiegate","forza_fergie"
"tornadonewslink","tornadonewslink"
"lotusoak2","theone500"
"animaldefenders","healthylondonuk"
"lotusoak2","amax1192"
"lotusoak2","cairestruth"
"aldreneg","tornadonewslink"
"stephnebehay","surveillabuse"
"gmacscotland","timunwin"
"hashemghaili","saljahn"
"gmacscotland","timunwin"
"elleprovocateur","gillyroots"
"press4change","press4change"
"vaccitechltd","katja_stout"
"swainitv","connectingl"
"boylemanuela","h2cm"
"dragonsoul9fire","humornlyrics"
"sherryljacobs","brownlinda7"
"h_namadi","andrewmorrisuk"
"va_shiva","celticnotorious"
"lotusoak2","beldon_mark"
"lotusoak2","maxmedieval"
"lotusoak2","maxmedieval"
"karluskap","bugforager"
"elleprovocateur","spacettf"
"tom_trotts","dollyrotten710"
"stephnebehay","pidaripley"
"40yearsyoung1","bluebell2201"
"richenergyceo","richenergyceo"
"lotusoak2","royhull1"
"militia_1776","paulscotland5"
"lotusoak2","royhull1"
"militia_1776","paulscotland5"
"militia_1776","kevclark73"
"militia_1776","kevclark73"
"h_dunning","hannah_mac01"
"va_shiva","pam30301"
"imperialmed","catbells_uk"
"th3peacecentre","hasanlambat"
"viku1111","lindaindevon"
"gangstapatriot","successfuel3"
"dragonsoul9fire","deanyb71"
"va_shiva","vinedko"
"va_shiva","bobsyauncle15"
"free_energy2016","bobsyauncle15"
"lotusoak2","royhull1"
"free_energy2016","bobsyauncle15"
"free_energy2016","bobsyauncle15"
"va_shiva","hodgkins_l"
"princearkman","miloh25000"
"vaccitechltd","impetuousbogdan"
"gmacscotland","powarg07"
"arabnews","moazzamali9"
"gmacscotland","powarg07"
"lotusoak2","claire312005"
"successfuel3","soulutionaries"
"successfuel3","soulutionaries"
"newsmedical","salford_council"
"thewistar","salford_council"
"lotusoak2","hillclime"
"lotusoak2","royhull1"
"callsatantoday","aspiemum"
"lotusoak2","royhull1"
"lotusoak2","royhull1"
"lotusoak2","hillclime"
"smombiegate","dahlia_diamond"
"lotusoak2","maxmedieval"
"lotusoak2","maxmedieval"
"lotusoak2","maxmedieval"
"princearkman","jacobsss_aa"
"lotusoak2","royhull1"
"lotusoak2","kindamuslim"
"lynnsusen","piers_corbyn"
"lotusoak2","hillclime"
"pharaoh_aten_","davidonjackson1"
"va_shiva","davidonjackson1"
"va_shiva","davidonjackson1"
"lotusoak2","billpittsjr"
"imperialmed","amirulrahul"
"99freemind","jenninemorgan"
"resultscda","jlizanderson"
"lotusoak2","maxmedieval"
"lotusoak2","hillclime"
"t_durdin","juliealexxx"
"carla_parrish","t5monkey"
"timand2037","kelvinbsp"
"lotusoak2","hillclime"
"livunihls","ccornforth1"
"profkatieewer","amyflaxman"
"science_md","gwcollinge"
"t_durdin","jackie1music"
"lotusoak2","brendahulse"
"timand2037","tony_mac2017"
"lotusoak2","kathy40036059"
"va_shiva","abilianis"
"kathyconwom","dick4dastardly"
"kathyconwom","theconwom"
"koko_tv","breaking24_7"
"lotusoak2","gilli5"
"nenagh9","rissalipstick"
"annika1021","sofrup"
"obviousreally","hopeenglish12"
"obviousreally","hopeenglish12"
"lotusoak2","fluffz74"
"obviousreally","m0nkeysh0ulder6"
"nickcane22","2020wsm"
"obviousreally","m0nkeysh0ulder6"
"lotusoak2","warekatielamb01"
"lotusoak2","limechillo"
"manchesterderm","thebmla"
"drugtargetrev","hapa_uk"
"abikar_","8etty8lack"
"lotusoak2","limechillo"
"libgrim","korblimee47"
"vanessa_dag_","dallast59"
"dragonsoul9fire","my90dayfatloss"
"lotusoak2","hillclime"
"t_durdin","linnyjackson"
"lotusoak2","annadjinn"
"keithmullin","jacquieq1967"
"t_durdin","ericmorton2"
"vmsandler","zakstraderscafe"
"vanessa_dag_","agency4africa"
"mrtejkohli","rajeevsawhney1"
"callsatantoday","owl_wide"
"aoecoin","agency4africa"
"aoecoin","agency4africa"
"esotericexposal","divmillar"
"lotusoak2","nippysweetie3"
"lotusoak2","2020wsm"
"itnj_committee","jasadine"
"peterbonda007","peterbonda007"
"peterbonda007","gaius2013"
"shicooks","katesandison"
"vaccitechltd","robjebert"
"lotusoak2","the1researcher"
"imperialmed","nakayama_naomi"
"tom_trotts","smithwinstona"
"lotusoak2","plane2thet"
"lotusoak2","plane2thet"
"lotusoak2","sam_sambuca"
"donsmalley79","montyjaxon1"
"pharaoh_aten_","vi17631145"
"lotusoak2","agency4africa"
"edctp","isntd_press"
"aoecoin","jenninemorgan"
"aoecoin","jenninemorgan"
"lotusoak2","agency4africa"
"nhalum31","duckspoken"
"avishaiel","markant72"
"nhalum31","agency4africa"
"aoecoin","minty_adam"
"aoecoin","minty_adam"
"vaccineinstitut","mccarthy_ronan"
"lotusoak2","patriot7uk"
"timand2037","leocullen4"
"callsatantoday","katecar84611017"
"va_shiva","katecar84611017"
"callsatantoday","katecar84611017"
"callsatantoday","katecar84611017"
"nhalum31","paulinelancas18"
"ealturner","stevemcgill52"
"aoecoin","vibrations111"
"aoecoin","vibrations111"
"alihamideh1988","bloody_scandal"
"lotusoak2","beldon_mark"
"arturoreyess","gia_mxuk"
"t_durdin","bloody_scandal"
"lotusoak2","claire312005"
"ladyredwave","jenkgary"
"lotusoak2","claire312005"
"aoecoin","mike963morgan"
"aoecoin","mike963morgan"
"newmumonline","jasadine"
"stgeorgesuni","yasmineyau"
"lotusoak2","royhull1"
"virustinkerer","alanlparker"
"hemiskull","lndontretweets"
"lotusoak2","royhull1"
"lotusoak2","kindamuslim"
"virustinkerer","aj_hollins"
"lotusoak2","hillclime"
"va_shiva","mathesonpaula"
"lotusoak2","royhull1"
"lotusoak2","sam_sambuca"
"lotusoak2","crusaderanon1"
"lotusoak2","royhull1"
"imperialmed","kazzystevens"
"arabnews","nawaz1y"
"dlang57500","fortivus"
"successfuel3","successfuel3"
"realtt2020","madtwins2006"
"vaccineinstitut","avi_cmbi"
"peterbonda007","spanner5232"
"lotusoak2","agobsmack"
"lotusoak2","agency4africa"
"imperialmed","headheartbrum"
"lotusoak2","hillclime"
"eyedropmedia","angel40043090"
"lotusoak2","kheatherbrown"
"peterbonda007","spanner5232"
"va_shiva","kittenmule888"
"timlaheymd","pash22"
"eyedropmedia","poetblue"
"efnbrussels","trewern2018"
"21wire","hairymarx1"
"hnohynek","almost_finished"
"aldo_9111","roanmccormick"
"21wire","munasono"
"aldo_9111","roanmccormick"
"21wire","speedbird73"
"eyedropmedia","greatwhite000"
"21wire","booksgo"
"ebarr838","roanmccormick"
"mdo526","roanmccormick"
"gavi","annade_2015"
"marcopcmarques","stevenl92465198"
"peterbonda007","nicky67748488"
"viku1111","ronnielad144"
"aoecoin","boadicea51"
"va_shiva","yazbeheshti"
" me and bishop larry gaiters on iheart media new york usa talking - coronavirus &psychological impact usa 12 pm and uk gmt 5 pm on monday 27/4/20 join us & their 128 million registered users #bishoplarrygaiters #covid19 #coronavirus #coronaphobia #vaccines#liferadionj.com https","drseshni"
"21wire","mikerestorer"
"esotericexposal","barn55south"
"va_shiva","paksau1"
"sfghcambridge","glasgowsfgh"
"aoecoin","lisafrideborg"
"aoecoin","lisafrideborg"
"lotusoak2","o0deckofcards0o"
"bedigitalgenius","celticnotorious"
"mrigankshail","natashaloder"
"sfghcambridge","wearesfgh"
"calvagal","bobtd30"
"lotusoak2","kheatherbrown"
"lotusoak2","krislewis073"
"ukcpi","catapult_uk"
"lotusoak2","allywally"
"lotusoak2","kheatherbrown"
"lotusoak2","royhull1"
"_thepush_report","robertplamer"
"cav_homecare","annadol20230332"
"peterbonda007","nictis74"
"russplfc","1michael_cfc"
"russplfc","1michael_cfc"
"peterbonda007","nictis74"
"drsarahcaddy","igoodfel"
"aoecoin","crazyoz_uk"
"aoecoin","crazyoz_uk"
"successfuel3","successfuel3"
"lotusoak2","steve09278255"
"chngin_the_wrld","andrewmorrisuk"
"va_shiva","christi75367510"
"russplfc","mowgli1977"
"russplfc","mowgli1977"
"tornadonewslink","jasonro42239493"
"lotusoak2","royhull1"
"vaccineinstitut","arswitzer"
"dr_ellie","knightayton"
"21wire","e1af38f6dbad458"
"stop_utk_now","rabblerabble15"
"health_eng","siraguk"
"drsarahcaddy","onlycloney"
"lotusoak2","royhull1"
"va_shiva","knaggslynn"
"lotusoak2","johnburdett20"
"virustinkerer","aly25_09"
"lotusoak2","fluffz74"
"profkatieewer","sendevimithu"
"drsarahcaddy","ghadavirol"
"21wire","drbrucescott"
"lotusoak2","r13815l"
"eevriviades","pany1galanis"
"lotusoak2","kheatherbrown"
"matt_vandyke","ianmsyme"
"dr_ellie","dr_ellie"
"medtech_laforge","jacobussystems"
"lotusoak2","kheatherbrown"
"va_shiva","illdefinedpromo"
"matt_vandyke","lanibeno"
"etweeetz","bloody_scandal"
"joanofamerica","dogcats5"
"vaccineinstitut","ckij"
"matt_vandyke","gillksharp1"
"libijian2","lin_intheuk"
"17thops","robertplamer"
"epochtimeschina","jairemmett"
"ashishjaggi_1","uma_sidd"
"spectatorindex","trevorr17385782"
"russplfc","kazzystevens"
"mrigankshail","sintayehu2"
"russplfc","kazzystevens"
"annieoakley05","karbland"
"annieoakley05","karbland"
"lotusoak2","johnburdett20"
"russplfc","johnaalogan"
"russplfc","johnaalogan"
"joanofamerica","invenitmundo"
"lotusoak2","imchaffie"
"esotericexposal","seybird11"
"lotusoak2","royhull1"
"tornadonewslink","tornadonewslink"
"tornadonewslink","tornadonewslink"
"vanessa_dag_","neets2245"
"russplfc","pam30301"
"russplfc","pam30301"
"epochtimeschina","rptcf500"
"vanessa_dag_","greeksteve"
"obviousreally","jayanair"
"obviousreally","jayanair"
"twilahhiari","runagainstcastr"
"vanessa_dag_","watp_ns"
"peterdrobac","profpinar"
"lotusoak2","cathycathyfox"
"foolsmultiply","iaincampbell008"
"lotusoak2","prophetscotland"
"sterlinggate","dunedin_media"
"successfuel3","successfuel3"
"jordan_sather_","gilli5"
"lotusoak2","kheatherbrown"
"hnohynek","drbirte"
"epochtimeschina","bobsnipes4"
"lotusoak2","ferrigankelly"
"lotusoak2","fluffz74"
"ryanstruyk","sarahisitme"
"lotusoak2","maxmedieval"
"lotusoak2","maxmedieval"
"lotusoak2","paulcfc81"
"vanessa_dag_","wesmith91"
"va_shiva","paulgar74820529"
"lotusoak2","ju5tlaw"
"lotusoak2","kazzystevens"
"lotusoak2","kazpsychic2"
"lotusoak2","agency4africa"
"pauljbelcher","ppieglobal"
"lotusoak2","maxmedieval"
"lotusoak2","lynnmar42209594"
"secpompeo","stacykarma1"
"va_shiva","hayley45688813"
"t_durdin","batestheresa"
"vaxyourfam","vaccineuk"
"lotusoak2","bogusnewsviews"
"lotusoak2","bogusnewsviews"
"21wire","spacettf"
"paulfmckay","junoantiques"
"aoecoin","eyeofprovenance"
"pizzabanned","esraezzy"
"t_durdin","ayeshasyasin"
"simplefeather77","backstopbetty"
"secpompeo","tommybridwell1"
"presscoreca","realyeddy"
"lotusoak2","kazpsychic2"
"lotusoak2","kazzystevens"
"hnohynek","epi_michael"
"lotusoak2","scarlet099"
"secpompeo","adrian202014"
"ryanstruyk","buybritish888"
"imperialmed","pady_ofurniture"
"carmindabrendel","peterbonda007"
"lotusoak2","margare25683010"
"pbar2411","macc1976_mc"
"drthomaspaul","esienne"
"militia_1776","katecar84611017"
"militia_1776","katecar84611017"
"militia_1776","katecar84611017"
"militia_1776","katecar84611017"
"militia_1776","katecar84611017"
"militia_1776","katecar84611017"
"lotusoak2","_inthistogether"
"militia_1776","katecar84611017"
"militia_1776","katecar84611017"
"lotusoak2","kazpsychic2"
"lotusoak2","kazzystevens"
"lotusoak2","kazpsychic2"
"lotusoak2","kazzystevens"
"militia_1776","katecar84611017"
"militia_1776","katecar84611017"
"drthomaspaul","2020wsm"
"lotusoak2","discoveries"
"tornadonewslink","tornadonewslink"
"successfuel3","celticnotorious"
"lotusoak2","limechillo"
"hobobabe","paulo_pscott"
"drthomaspaul","stratton31"
"lbc","nickypeppers"
"globaltimesnews","razak_waru"
"spectatorindex","bmd19015926"
"secpompeo","kthe_jac"
"rupanjanadutta","sangeetawaldron"
"rupanjanadutta","bridgeindiaorg"
"secpompeo","strattontories"
"lotusoak2","johnburdett20"
"imperialmed","ditsydivazjw"
"lotusoak2","johnburdett20"
"va_shiva","helen88811"
"secpompeo","paul20044150"
"dragonsoul9fire","princess_tazeen"
"lotusoak2","tinalstephenson"
"tlavagabond","s0nny_days"
"tlavagabond","russellwoitowi1"
"lotusoak2","royhull1"
"ngcwina_","ngcwina_"
"successfuel3","successfuel3"
"libertylives277","6ftchow"
"lotusoak2","royhull1"
"epochtimeschina","rafcloverian"
"lotusoak2","maxmedieval"
"lotusoak2","goneinawhisper"
"thestembelle","kaanni_"
"lotusoak2","goneinawhisper"
"lotusoak2","balfourdog"
"va_shiva","leejohnston75"
"lotusoak2","hillclime"
"carla_parrish","angelapower7"
"d_angeletti","mandyhodgkinso2"
"andrewscotttv","delintra"
"inga661","scancellpharma"
"lotusoak2","justweemary"
"aoecoin","briansj3"
"echinanews","aklen"
"aoecoin","dghdavies"
"lotusoak2","plane2thet"
"aoecoin","tony_mac2017"
"lotusoak2","plane2thet"
"lotusoak2","plane2thet"
"lotusoak2","plane2thet"
"lotusoak2","plane2thet"
"lotusoak2","plane2thet"
"lotusoak2","plane2thet"
"rupanjanadutta","kaullakshmi"
"lotusoak2","jenninemorgan"
"lotusoak2","jenninemorgan"
"kentbuse","sdjchaplin"
"21wire","alexi_starr"
"paulfmckay","robin_shattock"
"lotusoak2","atters68"
"ealturner","kuffarme"
"agvbruceadams","arabenning"
"echinanews","tunnelbreeze"
"geopolitics_emp","covertwarfare"
"lotusoak2","hillclime"
"lotusoak2","hillclime"
"lotusoak2","markvaccines"
"paulfmckay","lawrencecue1"
"paulfmckay","drtomwhittaker"
"pauljbelcher","gtmediame"
"mrbrownhistory","cfshistorydep"
"peterhotez","jlillywhite"
"aoecoin","burnleypunk"
"save_anton","celticnotorious"
"chief_wabantu","roman_wacho"
"richenergyceo","beddoeroger"
"paulfmckay","rfrise00"
"1naasty","katyjo123"
"lotusoak2","plane2thet"
"aoecoin","angelah08745929"
"aoecoin","angelah08745929"
"lotusoak2","patriot7uk"
"paulfmckay","influenzal"
"lotusoak2","hillclime"
"aoecoin","liverpool196"
"aoecoin","liverpool196"
"lotusoak2","plane2thet"
"rdesma3","msanujohanna"
"paulfmckay","benmbradley"
"paulfmckay","virology_news"
"lotusoak2","amax1192"
"nat_aids_trust","mauricegreenham"
"secpompeo","georgeibekwe4"
"lotusoak2","susanfl45434152"
"jfdwolff","claire_bronze"
"carmindabrendel","marshal45872251"
"reuters","reutersrachel"
"jfdwolff","drokane"
"agvbruceadams","bamberxerxes"
"sigientist","mel_lawson0905"
"nadelparis","don_stanni"
"lotusoak2","kheatherbrown"
"lotusoak2","hillclime"
"lotusoak2","hillclime"
"sheenaalexandra","johnhurr"
"lotusoak2","centhyp"
"carmindabrendel","nictis74"
"nadelparis","brianmc06894607"
"echinanews","aklen"
"lotusoak2","adamdavidwoodw1"
"annetteengland1","bia_uk"
"lotusoak2","amax1192"
"lotusoak2","amax1192"
"jfdwolff","pash22"
"sheenaalexandra","jonathansindall"
"sheenaalexandra","hap14255"
"lotusoak2","brendahulse"
"lotusoak2","limechillo"
"jfdwolff","goldconsul"
"dutch85169","dutch85169"
"dutch85169","dutch85169"
"jfdwolff","indigorehab"
"sheenaalexandra","igbarnes"
"sheenaalexandra","adamineden"
"agvbruceadams","sourgra32364954"
"ealturner","warmblood"
"sheenaalexandra","gwcollinge"
"lotusoak2","limechillo"
"jfdwolff","drlindadykes"
"lotusoak2","limechillo"
"21wire","bratfudrecusant"
"tlavagabond","rpromitzer"
"jfdwolff","mudita14"
"kristianharstad","kristianharstad"
"beautyquark","katiealysampson"
"moiradundee","cathymcrorie"
"lotusoak2","patriot7uk"
"jfdwolff","warphobblerkaz"
"tornadonewslink","tornadonewslink"
"barbervax","numnutsdevice"
"tornadonewslink","mikerestorer"
"tlavagabond","arabenning"
"jfdwolff","emergmeddr"
"whosearo","marisharayld"
"eustache_luigy","jenninemorgan"
"lotusoak2","willwat14922206"
"sheenaalexandra","theoldtrout54"
"rooflok","alanrew"
"sciencebritain","gilljames54"
"8extremes","somethingswro11"
"picphysicians","tartanspartan01"
"lshtm","avid_vaccines"
"sheenaalexandra","hypercryptical"
"sheenaalexandra","lyndonrosser"
"smombiegate","smombiegate"
"rooflok","fanfluxx"
"whosearo","samljpage"
"gagegorman","justbementalist"
"borgebrende","phill_medcomms"
"sheenaalexandra","suejclarke1"
"dwddsu","rawls_heather"
"nadelparis","cucurares1"
"sheenaalexandra","micmicmic1"
"sheenaalexandra","yeoldewolde"
"rstmh","akindecassandra"
"lotusoak2","sebmeister"
"sheenaalexandra","leightonandrews"
"lotusoak2","agobsmack"
"sheenaalexandra","joe_363_"
"humanityfirstuk","fariahmad13"
"drsarahcaddy","andymoz78"
"sheenaalexandra","lucytrims"
"sheenaalexandra","bookishwgc"
"sheenaalexandra","pmorgwain"
"sheenaalexandra","bliadhnaichean"
"sheenaalexandra","borndriller"
"sheenaalexandra","shirleyyoung2"
"louishenwood","benprocter"
"louishenwood","katrinamurray71"
"sheenaalexandra","silvertreekaren"
"lshtm","clairedocdavies"
"va_shiva","jazminalcatras"
"sheenaalexandra","penbedw"
"sheenaalexandra","hilarygerrans"
"kirstentelliott","sound_of_sirens"
"sheenaalexandra","jpjanson"
"sheenaalexandra","jameswoodsfan1"
"lotusoak2","johnburdett20"
"lotusoak2","maxmedieval"
"lotusoak2","maxmedieval"
"cpho_canada","nclavain"
"jfdwolff","loz70"
"amian collins","deletedbymps"
"infotagion","damiancollins"
"nadelparis","keithmartinhq"
"rupanjanadutta","vishalkotkar11"
"sheenaalexandra","sir_rykitching"
"sheenaalexandra","bexlowrie"
"sheenaalexandra","ameliaaber"
"infotagion","pierre_andrews_"
"jfdwolff","sparkletutu"
"lotusoak2","royhull1"
"matt_vandyke","saeed4_s"
"lotusoak2","hallbagz"
"aoecoin","my90dayfatloss"
"sheenaalexandra","michael199019"
"lotusoak2","hallbagz"
"lotusoak2","tomforbes50"
"lotusoak2","tomforbes50"
"lotusoak2","daxisda1"
"lotusoak2","johnburdett20"
"sheenaalexandra","kcthehamster"
"lotusoak2","grmcken"
"sheenaalexandra","gamejoy7"
"whosearo","hassandeedaur"
"sheenaalexandra","helloimisra"
"sheenaalexandra","deborahparr"
"crowrising","woldslinx"
"borgebrende","1aanish"
"lotusoak2","johnburdett20"
"lotusoak2","warekatielamb01"
"lotusoak2","warekatielamb01"
"sheenaalexandra","helenmarycymru"
"militia_1776","deeupton57"
"cpho_canada","anneelk80"
"militia_1776","deeupton57"
"lotusoak2","robertardalane"
"sheenaalexandra","woodwardp"
"lotusoak2","bellhappe"
"lotusoak2","bellhappe"
"drdarrenrflower","newshaven"
"lotusoak2","bellhappe"
"lotusoak2","bellhappe"
"cpho_canada","edmskatefan"
"thetruechannel","adkinskirsty"
"tmustopf","maryhadalil"
"sheenaalexandra","stemercer1982"
"borgebrende","mikhailovdanil"
"bremaininspain","joelbaccas"
"whosearo","healtheuropa"
"bremaininspain","christia_allard"
"bremaininspain","lizneedhamstar"
"sheenaalexandra","financejames"
"bremaininspain","gwcollinge"
"sheenaalexandra","warphobblerkaz"
"bremaininspain","marybbat"
"infotagion","damiancollins"
"immunopole","juliemusson2"
"bremaininspain","johnmalta99"
"_atanas_","magicdmw"
"valuethemarkets","keya5000"
"bremaininspain","vintiquesmark"
"valuethemarkets","paul_rx8"
"magnumcaseum","sourgra32364954"
"bremaininspain","allenow83890817"
"bremaininspain","quondamoptimist"
"benitaowobi","nationscoops"
"bremaininspain","fliegerrick"
"drthomaspaul","veeharmony"
"drthomaspaul","veeharmony"
"sheenaalexandra","marktutton25"
"valuethemarkets","drivingni"
"sheenaalexandra","vanessid1"
"spectatorindex","yvettehenson"
"sheenaalexandra","jfcwindmill"
"whosearo","kellyclelland1"
"lotusoak2","fluffz74"
"valuethemarkets","shukan007"
"sheenaalexandra","captwordbeard"
"sheenaalexandra","mrdrem"
"bremaininspain","frances86878358"
"sheenaalexandra","philippa22"
"bremaininspain","troiacassa"
"sheenaalexandra","pensionlawyeruk"
"sheenaalexandra","troiacassa"
"sheenaalexandra","dungeekin"
"bremaininspain","jjcaprice1"
"sheenaalexandra","robert0461"
"pinkavis","my90dayfatloss"
"tlavagabond","prophetscotland"
"bremaininspain","wible1"
"bremaininspain","evanteijlingen"
"sheenaalexandra","adamnelmes"
"successfuel3","successfuel3"
"bremaininspain","chrismachin10"
"smombiegate","smombiegate"
"kirstentelliott","jriekemann"
"zoeguttendorf","mohamadneuro"
"smombiegate","smombiegate"
"smombiegate","smombiegate"
"sheenaalexandra","separatescot"
"sheenaalexandra","timeandthehour"
"bremaininspain","margaretcarman1"
"sheenaalexandra","jimnarlene"
"aoecoin","toshiroh9"
"sheenaalexandra","jeffgazzard"
"sheenaalexandra","devonianmatthew"
"thebernician","smombiegate"
"risetoflyy","cl4ymore1314"
"space_newquay","timg33"
"nancy22083647","whytheliesuk"
"sheenaalexandra","cmacreek"
"sheenaalexandra","johnjoh60210099"
"bremaininspain","randombob18"
"elleprovocateur","briansj3"
"sheenaalexandra","oakhillrailway"
"whosearo","walpops"
"elleprovocateur","philgreaves01"
"space_newquay","bongiwe_sibanda"
"infotagion","dpowis"
"celticgal74","freethinkerman1"
"bremaininspain","pamchugh1"
"dolphin_angels","knoxsuzannah"
"bremaininspain","gotharddaniel"
"ot_expert","karenburkett76"
"sheenaalexandra","pollsstar"
"sheenaalexandra","awenior"
"welovejsoul","kachiogbonna1"
"sheenaalexandra","clairej11893886"
"loveenatandon","shahens44153002"
"sheenaalexandra","johnnyboy7169"
"loveenatandon","loveenatandon"
"scottgottliebmd","joyagnost"
"whosearo","matthewr0226"
"risetoflyy","joeom4"
"loveenatandon","suhruth2007"
"lotusoak2","fluffz74"
"sheenaalexandra","pcsoblahdeehell"
"aoecoin","breaking24_7"
"sheenaalexandra","karenknowsbest"
"sheenaalexandra","drlindadykes"
"bremaininspain","maxjthinks"
"sheenaalexandra","howardlewis61"
"lotusoak2","chrisderrick1"
"dr_rath_news","farrugialewis"
"sheenaalexandra","bellinghman"
"risetoflyy","hypocricyrules"
"abdulmannan74","omersharif9"
"bremaininspain","whyareweleaving"
"roofershound","theoutline11"
"animal_leaks","deuchhakar"
"animal_leaks","ruxananargol"
"risetoflyy","arabenning"
"lotusoak2","agency4africa"
"lotusoak2","agency4africa"
"stephane_ulrich","terryinfinchley"
"compassionkarm1","paulinelancas18"
"lotusoak2","chris022004"
"lotusoak2","kazpsychic2"
"lotusoak2","kazpsychic2"
"lotusoak2","kazzystevens"
"sheenaalexandra","drpoco"
"carlos_s01","jenninemorgan"
"lotusoak2","royhull1"
"sheenaalexandra","michaelinkpin"
"lotusoak2","agency4africa"
"peterhotez","jlillywhite"
"whosearo","hope4harmonie"
"infotagion","boyzonespacefan"
"resist2exist313","perrigomm"
"sheenaalexandra","matt_mmc"
"sheenaalexandra","mancunianmedic"
"loveenatandon","kaullakshmi"
"la4x51","jenninemorgan"
"sheenaalexandra","nursegow"
"la4x51","icrimages"
"iscresearch","signnamehere1"
"lotusoak2","royhull1"
"lotusoak2","royhull1"
"successfuel3","belinda555777"
"carlos_s01","boblea21"
"kamvanhereweghe","potterwigham"
"aoecoin","breaking24_7"
"lotusoak2","kheatherbrown"
"smombiegate","smombiegate"
"lotusoak2","javierca76191"
"sheenaalexandra","iamcarrieagain"
"sheenaalexandra","sarah_davies67"
"sheenaalexandra","pippifisher"
"epochchanger","honestcitizend1"
"risetoflyy","divinehealing17"
"tlavagabond","craig_hollowell"
"smombiegate","brixton_angel"
"cutmps time for mps lords civil servants do right thing min 20% paycut rt @hotnewsnaija","odobehave"
"sheenaalexandra","tinytiernan"
"la4x51","patrick70633049"
"sociabubble","sirclassics"
"bremaininspain","poettaxidriver"
"sequimbee","princessofwails"
"lotusoak2","margare25683010"
"sheenaalexandra","gingram71"
"sequimbee","atissue5"
"stephane_ulrich","billymc1987"
"bremaininspain","petejholden"
"katafarkas211","vernerj_david"
"paulfmckay","avi_cmbi"
"bremaininspain","pledgeforeurope"
"sheenaalexandra","simon_lindsell"
"sheenaalexandra","gippeswicktimes"
"sheenaalexandra","illi4141"
"sheenaalexandra","cgfindies"
"lotusoak2","bloody_scandal"
"elysecane","bloody_scandal"
"sheenaalexandra","ianspindley"
"aetiology","allisonpearson"
"aetiology","dr_aust_phd"
"aetiology","werdnasteel"
